artist_name,artist_id,song_name,track_id,duration,popularity,played_at
Hugo Loud,68iEahGCoHxwo219tbcPf2,NenaumeOruj'e,0xWC4WD3v4PrKTZXdmqtbP,1:36,23,2025-06-29 22:38:13
Pouya,4nXOZlYoAD67hF9aUEncMY,FOUL MOUTH,5BmbeND29Ic8tXyrvUviOf,2:46,51,2025-06-29 22:27:48
Don Toliver,4Gso3d4CscCijv0lmajZWs,Company Pt 2,63oDfrgZRgZrTJE88GGC5I,3:31,60,2025-06-29 22:25:02
TWXN,0lZ2oIRdMsQfFEPmOa3YyL,ALL EYES,0l1ANIJeVg43nyJLOEl7NP,1:56,67,2025-06-29 19:00:39
TWXN,0lZ2oIRdMsQfFEPmOa3YyL,BLESSING,25QqjqSQC1JAFzHBPJOrdJ,2:12,58,2025-06-29 18:58:43
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Drugs You Should Try It,4b7vk8SRcYgnxpk0JOIS7r,3:28,75,2025-06-29 18:56:11
Don Toliver,4Gso3d4CscCijv0lmajZWs,FWU,1NpHJ96ljWvqdbjlyc9GtT,2:51,70,2025-06-29 16:16:03
TWXN,0lZ2oIRdMsQfFEPmOa3YyL,YVL WHEREVER I GO,3SIcYxtalAL7aSwx12PfdV,2:05,45,2025-06-29 16:04:11
ODIE,5aMIbwZQvP2MHPMVC5zCGj,North Face,63bAGRSSX2V1hhPSP2NpBC,3:16,63,2025-06-29 15:58:07
Pouya,4nXOZlYoAD67hF9aUEncMY,Daddy Issues,4jkSAndQtmUSQzLnS6aVyB,2:25,55,2025-06-29 14:58:11
BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,Life of a Boss,2Zom0cHy98xMHYtSFu64yX,2:04,73,2025-06-29 14:56:15
Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU,Tagtraum,7cV3mAfSkIT4Dy1J2X9tOo,4:35,29,2025-06-29 14:53:57
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Who You Foolin,7KVPsVMOK3NL7subwJ0dZj,2:31,77,2025-06-29 14:49:05
Calvin Harris,7CajNmpbOovFoOoasH2HaY,Blame (feat. John Newman),07nH4ifBxUB4lZcsf44Brn,3:32,85,2025-06-29 14:46:25
Aperio,7p6ffz42sYfufojFrfIDlX,Only You,14wbsRn4dzYtLE4QVhI0qB,4:34,39,2025-06-29 14:42:52
Diskoteka Avariya,2NL5u7aIFrmuOHbYBYWjun,"К.У.К.Л.А. - Из ""К.У.К.Л.А. братьев Запашных""",1qmvCgmQCJWkHvfu3EbXZh,3:44,54,2025-06-29 14:12:49
Платина,4TzGOY9RpErzedN02w8Boh,Последнее свидание,6OlP8aLDdhWQI9TFmOwgdY,3:01,43,2025-06-29 12:44:15
