artist_name,artist_id,song_name,track_id,duration,popularity,played_at
Boulevard Depo,7dH8w9flSy9w81ilr0xXWe,НАШ ДОМ,4dEh75fn5t7HR00mx95HKy,3:15,36,2025-06-14 13:20:48
Gob,0c4fpXIFPFNve1CxmGgXQf,Give Up The Grudge,7FptsXd6sXLbotfzfoSc49,2:57,40,2025-06-14 02:56:07
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,OWA OWA,5E3XPRJVgYnxhMAFI7nZ7N,2:12,86,2025-06-14 02:39:47
Crunkz,4OXIfQQfNxUxqVPwoklWcv,Need You,5eaotQ3sle6aKqrPi2Qy6A,2:16,67,2025-06-14 02:36:57
uniqe,0NhjeTa9uSqiD1wEG3gfII,СТЕРВА,26Fgg12IPmdQNSDo4ExLeI,2:35,50,2025-06-14 02:09:19
SALUKI,07tFgedhta5b5WaF0Yj4bH,"THE GOOD, THE BAD & THE UGLY",1KmHT8tuT7NkQT1WbEPAdN,1:47,38,2025-06-14 01:57:30
SALUKI,07tFgedhta5b5WaF0Yj4bH,BROTHA BROTHA,4sK8eWUO2pPp0uYyBtcpS9,3:07,47,2025-06-14 01:39:11
Drake,3TVXtAsR1Inumwj472S9r4,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,5:19,81,2025-06-14 00:21:11
SODA LUV,3TikHXhctY4FUIMlkl0tzR,Вива ла вида,4Gj4XZl2k6Ixbk6zHASTpz,3:13,24,2025-06-14 00:16:32
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Outfit (with 21 Savage),6B2FtBtIds4rqeLPTW0D76,2:57,79,2025-06-13 23:42:44
BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,Holy Ground (feat. Jessie Murph),7qt0XTMXLCszM1p5jcZhej,2:57,79,2025-06-13 19:18:11
Nemzzz,3DHtfeD4PsmR9YGhCP4VF7,ART (feat. Latto),24fWOmkqeWMdAxiOiuXt0k,1:48,50,2025-06-13 19:09:26
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Half The Plot,3zAWhIscp6ehzXv3KHorwb,2:45,45,2025-06-13 19:02:57
Hugo Loud,68iEahGCoHxwo219tbcPf2,Alive,3zj7XNHL7Z8xlsQRTFLNgK,1:50,17,2025-06-13 19:00:24
